SightGenreCD,SightMiddleGenreCD,SightGenreName
101,10,湖沼・池
102,10,岬・海岸・断崖
103,10,川・滝・湧水・渓谷
104,10,山・丘陵
105,10,鍾乳洞・洞窟
106,10,石・奇岩
107,10,島
108,10,高原・湿原・森・林・木
121,10,動物生息地・植物群生地
122,10,花見スポット
123,10,紅葉スポット
129,10,その他自然景観
131,11,社寺・教会
132,12,歴史的建造物
133,12,記念碑・像
134,12,遺跡・史跡・城址
135,12,タワー・展望施設
136,12,繁華街・町並み・散歩道
137,12,墓地・霊園・墓所・廟所
139,12,その他建物
141,13,公園
142,13,庭園・植物園・ハーブ園
144,13,動物園
145,13,水族館
146,13,動植物園
151,14,博物館・科学館・資料館
152,14,美術館・ギャラリー
153,14,図書館
154,14,記念館
159,14,その他文化施設
161,19,工場・施設見学
162,19,スタジアム・イベント場
163,19,劇場・映画館・演芸場
169,19,その他エンターテイメント
171,19,観光道路
172,19,ダム
173,19,港
174,19,橋
175,19,灯台
176,19,空港
177,19,駅
178,19,道の駅
179,19,SA・PA
180,19,休憩所
181,19,看板・インスタレーション・オブジェ
191,19,小説アニメ舞台・ロケ地
197,19,公的施設・公共施設
198,19,観光案内所・ビジターセンター
199,19,その他観光スポット
201,20,テーマパーク・遊園地
202,22,陶芸・手工芸体験
203,22,料理体験
204,22,農漁業体験
205,22,観光牧場・観光農園
206,22,エステ・ボディケア・マッサージ
209,22,その他体験施設
211,21,テニス
212,21,ゴルフ・パターゴルフ
213,21,野球
214,21,サッカー
215,21,乗馬
221,21,海水浴場・湖水浴場
222,21,プール
223,21,釣り
224,21,カヌー・ラフティング
225,21,スキューバダイビング・シュノーケリング
226,21,潮干狩り
229,21,その他水辺のレジャー
231,21,スカイスポーツ
241,21,スキー・スノボ
242,21,スケート
249,21,その他ウインタースポーツ
251,21,キャンプ・バーベキュー
259,21,その他アウトドア・スポーツ
261,21,ハイキング・自然研究路・遊歩道・探勝路
262,21,サイクリング・サイクリングコース
263,21,ドッグラン・犬関連施設
270,29,ゲームセンター・遊技場
279,29,その他レジャー
281,29,観光鉄道・ケーブルカー・トロッコ
282,29,観光船・屋形船・川下り・クルージング
283,29,観光バス
284,29,ロープウェイ・リフト・ゴンドラ
289,29,その他観光交通機関
300,30,和食・日本料理
301,30,寿司
302,30,鮮魚料理
303,30,鳥料理
304,30,焼肉・ジンギスカン
305,30,郷土料理
306,30,てんぷら
307,30,とんかつ・串カツ
308,30,うなぎ料理
311,32,洋食・レストラン
321,37,フランス料理
322,37,イタリア料理
323,37,スペイン料理
324,37,タイ料理
325,37,韓国料理
326,37,その他アジアの料理
327,37,その他ヨーロッパの料理
330,37,中国料理
345,37,カレー・インド料理
350,37,その他外国料理
361,36,ラーメン
362,37,餃子
363,36,焼きそば
365,36,その他麺類
368,36,そば・うどん
371,38,お好み焼・もんじゃ焼
372,38,たこ焼
390,39,その他食事処
400,40,カフェ・喫茶・カフェレストラン
410,40,ケーキ・フルーツパーラー
420,40,茶屋・甘味処
501,50,割烹
502,50,小料理
510,50,居酒屋
511,50,ビアレストラン・ワインレストラン
520,50,バー
530,50,クラブ・ライブハウス
599,50,その他酒処
600,60,デパート・ショッピングビル
610,61,ファッション・アクセサリー
620,61,インテリア・雑貨・グッズ
630,62,民芸品・工芸品・陶芸品
640,63,食料品・地酒
650,63,和洋菓子・スイーツ
660,63,農産物
699,62,その他ショップ
701,71,立ち寄り温泉
702,72,温浴施設
799,73,温泉スポットその他
999,91,どれにも該当せず
